Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_fillBufferAligned.kd",0,0,0,246483,246483,33554432,256,0,0,4,32,2560,0x0,0x7f695810c8c0,3670016,3538356,395464984,477207879585440,421570247109711,477208027344555,477208027468825
1,"void benchmark_func<short, 256, 8u, 0u>(short, short*) [clone .kd]",0,0,2,246483,246483,32768,256,0,0,12,24,13888,0x0,0x7f685799af80,512,19388,2150120,477208032458148,477208027344555,477208033206497,477208033309610
2,"void benchmark_func<float, 256, 8u, 0u>(float, float*) [clone .kd]",0,0,5,246483,246483,4194304,256,0,0,12,24,14336,0x7f695a32c380,0x7f685799afc0,65536,113952,12736328,477208033252461,477208033206497,477208034616103,477208034704410
3,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 0u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,8,246483,246483,4194304,256,0,0,16,24,15040,0x7f695a32c200,0x7f685799b000,65536,131444,14879720,477208034724139,477208034616103,477208036126349,477208036217807
4,"void benchmark_func<double, 256, 8u, 0u>(double, double*) [clone .kd]",0,0,11,246483,246483,4194304,256,0,0,16,24,15488,0x7f695a32c080,0x7f685799b040,65536,133812,14855840,477208036231567,477208036126349,477208037628435,477208037716665
5,"void benchmark_func<__half2, 256, 8u, 0u>(__half2, __half2*) [clone .kd]",0,0,14,246483,246483,4194304,256,0,0,12,24,15936,0x7f6958087f00,0x7f685799b080,65536,132650,14923864,477208037729405,477208037628435,477208039022840,477208039111515
6,"void benchmark_func<int, 256, 8u, 0u>(int, int*) [clone .kd]",0,0,17,246483,246483,4194304,256,0,0,12,24,16384,0x7f6958087d80,0x7f685799b0c0,65536,143494,16110240,477208039124725,477208039022840,477208040416446,477208040508415
7,"void benchmark_func<float, 256, 8u, 1u>(float, float*) [clone .kd]",0,0,20,246483,246483,4194304,256,0,0,12,24,17088,0x7f6958087c00,0x7f685799b100,131072,153172,17098328,477208040538224,477208040416446,477208041811171,477208041902845
8,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 1u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,23,246483,246483,4194304,256,0,0,16,24,17792,0x7f6958087a80,0x7f685799b140,131072,170586,19093568,477208041917535,477208041811171,477208043407658,477208043499061
9,"void benchmark_func<double, 256, 8u, 1u>(double, double*) [clone .kd]",0,0,26,246483,246483,4194304,256,0,0,16,24,18496,0x7f6958087900,0x7f685799b180,65536,131318,14663320,477208043511301,477208043407658,477208044945104,477208045010379
10,"void benchmark_func<__half2, 256, 8u, 1u>(__half2, __half2*) [clone .kd]",0,0,29,246483,246483,4194304,256,0,0,16,24,19200,0x7f6958087780,0x7f685799b1c0,131072,170626,19215112,477208045025049,477208044945104,477208046339989,477208046408259
11,"void benchmark_func<int, 256, 8u, 1u>(int, int*) [clone .kd]",0,0,32,246483,246483,4194304,256,0,0,16,24,19904,0x7f6958087600,0x7f685799b200,131072,175822,19896432,477208046422459,477208046339989,477208047730075,477208047793099
12,"void benchmark_func<float, 256, 8u, 2u>(float, float*) [clone .kd]",0,0,35,246483,246483,4194304,256,0,0,12,24,20608,0x7f695a32c480,0x7f685799b240,131072,169488,18902200,477208047815179,477208047730075,477208049133280,477208049201339
13,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 2u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,38,246483,246483,4194304,256,0,0,16,24,21312,0x7f695a32c300,0x7f685799b280,131072,167400,18644504,477208049216318,477208049133280,477208050678567,477208050749485
14,"void benchmark_func<double, 256, 8u, 2u>(double, double*) [clone .kd]",0,0,41,246483,246483,4194304,256,0,0,16,24,22016,0x7f695a32c180,0x7f685799b2c0,65536,153890,17330448,477208050763655,477208050678567,477208052200973,477208052270863
15,"void benchmark_func<__half2, 256, 8u, 2u>(__half2, __half2*) [clone .kd]",0,0,44,246483,246483,4194304,256,0,0,16,24,22720,0x7f695a32c000,0x7f685799b300,131072,171302,19391240,477208052286192,477208052200973,477208053603538,477208053666913
16,"void benchmark_func<int, 256, 8u, 2u>(int, int*) [clone .kd]",0,0,47,246483,246483,4194304,256,0,0,12,24,23424,0x7f6958087e80,0x7f685799b340,131072,168314,18873544,477208053680932,477208053603538,477208055019224,477208055058963
17,"void benchmark_func<float, 256, 8u, 3u>(float, float*) [clone .kd]",0,0,50,246483,246483,4194304,256,0,0,12,24,24128,0x7f6958087d00,0x7f685799b380,131072,168932,18884976,477208055080492,477208055019224,477208056417309,477208056481952
18,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 3u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,53,246483,246483,4194304,256,0,0,16,24,24832,0x7f6958087b80,0x7f685799b3c0,131072,171780,19201568,477208056496612,477208056417309,477208058017476,477208058082478
19,"void benchmark_func<double, 256, 8u, 3u>(double, double*) [clone .kd]",0,0,56,246483,246483,4194304,256,0,0,16,24,25536,0x7f6958087a00,0x7f685799b400,65536,144608,16102552,477208058094837,477208058017476,477208059559242,477208059624635
20,"void benchmark_func<__half2, 256, 8u, 3u>(__half2, __half2*) [clone .kd]",0,0,59,246483,246483,4194304,256,0,0,12,24,26240,0x7f6958087880,0x7f685799b440,131072,175734,19756448,477208059638534,477208059559242,477208060964527,477208061029005
21,"void benchmark_func<int, 256, 8u, 3u>(int, int*) [clone .kd]",0,0,62,246483,246483,4194304,256,0,0,12,24,26944,0x7f6958087700,0x7f685799b480,131072,189316,21175552,477208061043734,477208060964527,477208062423573,477208062488443
22,"void benchmark_func<float, 256, 8u, 4u>(float, float*) [clone .kd]",0,0,65,246483,246483,4194304,256,0,0,12,24,27648,0x7f695a32c580,0x7f685799b4c0,131072,150854,16906920,477208062509263,477208062423573,477208063833179,477208063901163
23,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 4u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,68,246483,246483,4194304,256,0,0,16,24,28608,0x7f695a32c400,0x7f685799b500,131072,198952,22330168,477208063916413,477208063833179,477208065377665,477208065440660
24,"void benchmark_func<double, 256, 8u, 4u>(double, double*) [clone .kd]",0,0,71,246483,246483,4194304,256,0,0,16,24,29312,0x7f695a32c280,0x7f685799b540,65536,132548,14775192,477208065455260,477208065377665,477208066901351,477208066941048
25,"void benchmark_func<__half2, 256, 8u, 4u>(__half2, __half2*) [clone .kd]",0,0,74,246483,246483,4194304,256,0,0,12,24,30016,0x7f695a32c100,0x7f685799b580,131072,152610,17084248,477208066955188,477208066901351,477208068322797,477208068388237
26,"void benchmark_func<int, 256, 8u, 4u>(int, int*) [clone .kd]",0,0,77,246483,246483,4194304,256,0,0,8,24,30976,0x7f6958087f80,0x7f685799b5c0,131072,182742,20378704,477208068402906,477208068322797,477208069812883,477208069877915
27,"void benchmark_func<float, 256, 8u, 5u>(float, float*) [clone .kd]",0,0,80,246483,246483,4194304,256,0,0,12,24,31680,0x7f6958087e00,0x7f685799b600,131072,172650,19298432,477208069899884,477208069812883,477208071214968,477208071279055
28,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 5u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,83,246483,246483,4194304,256,0,0,16,24,32640,0x7f6958087c80,0x7f685799b640,131072,154008,17171352,477208071292324,477208071214968,477208072739934,477208072805132
29,"void benchmark_func<double, 256, 8u, 5u>(double, double*) [clone .kd]",0,0,86,246483,246483,4194304,256,0,0,12,24,33600,0x7f6958087b00,0x7f685799b680,65536,134312,14901752,477208072819092,477208072739934,477208074269700,477208074333249
30,"void benchmark_func<__half2, 256, 8u, 5u>(__half2, __half2*) [clone .kd]",0,0,89,246483,246483,4194304,256,0,0,12,24,34560,0x7f6958087980,0x7f685799b6c0,131072,171424,19137248,477208074347669,477208074269700,477208075705226,477208075774908
31,"void benchmark_func<int, 256, 8u, 5u>(int, int*) [clone .kd]",0,0,92,246483,246483,4194304,256,0,0,8,24,35520,0x7f6958087800,0x7f685799b700,131072,169496,18954632,477208075788688,477208075705226,477208077214832,477208077277466
32,"void benchmark_func<float, 256, 8u, 6u>(float, float*) [clone .kd]",0,0,95,246483,246483,4194304,256,0,0,12,24,36224,0x7f6958087680,0x7f685799b740,131072,173514,19431408,477208077300135,477208077214832,477208078650198,477208078712435
33,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 6u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,98,246483,246483,4194304,256,0,0,12,24,37184,0x7f695a32c500,0x7f685799b780,131072,184510,20581424,477208078726014,477208078650198,477208080185564,477208080251702
