Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_fillBufferAligned.kd",0,0,0,246845,246845,33554432,256,0,0,4,32,2560,0x0,0x7f9f7b4448c0,3783788,3783788,2037375,30270312,524288,876300442,14154360,0,3519726848,477210193371950,477209490347411,477210340681804,477210340799634
1,"void benchmark_func<short, 256, 8u, 0u>(short, short*) [clone .kd]",0,0,2,246845,246845,32768,256,0,0,12,24,13888,0x0,0x7f9e7ad9af80,1021668,1021668,1009659,8173352,512,1221283,91189,0,4898920,477210345751778,477210340681804,477210346501672,477210346600029
2,"void benchmark_func<float, 256, 8u, 0u>(float, float*) [clone .kd]",0,0,5,246845,246845,4194304,256,0,0,12,24,14336,0x7f9f7d6ea380,0x7f9e7ad9afc0,1250705,1250705,1013350,10005648,65536,117901166,1897726,0,473348524,477210346553410,477210346501672,477210347905040,477210347974970
3,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 0u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,8,246845,246845,4194304,256,0,0,16,24,15040,0x7f9f7d6ea200,0x7f9e7ad9b000,1413710,1413710,1015418,11309688,65536,150360850,3228831,0,603183668,477210347996259,477210347905040,477210349408087,477210349499187
4,"void benchmark_func<double, 256, 8u, 0u>(double, double*) [clone .kd]",0,0,11,246845,246845,4194304,256,0,0,16,24,15488,0x7f9f7d6ea080,0x7f9e7ad9b040,1419425,1419425,1016111,11355408,65536,152263196,3274642,0,610793032,477210349514907,477210349408087,477210350918495,477210351008445
5,"void benchmark_func<__half2, 256, 8u, 0u>(__half2, __half2*) [clone .kd]",0,0,14,246845,246845,4194304,256,0,0,12,24,15936,0x7f9f7b44df00,0x7f9e7ad9b080,1251334,1251334,1014677,10010680,65536,119426878,1919233,0,479453228,477210351024074,477210350918495,477210352322502,477210352387005
6,"void benchmark_func<int, 256, 8u, 0u>(int, int*) [clone .kd]",0,0,17,246845,246845,4194304,256,0,0,12,24,16384,0x7f9f7b44dd80,0x7f9e7ad9b0c0,1243831,1243831,1013895,9950656,65536,117813629,1863248,0,472998684,477210352402275,477210352322502,477210353721709,477210353810605
7,"void benchmark_func<float, 256, 8u, 1u>(float, float*) [clone .kd]",0,0,20,246845,246845,4194304,256,0,0,12,24,17088,0x7f9f7b44dc00,0x7f9e7ad9b100,1253763,1253763,1014430,10030112,65536,123538502,1944226,0,495899044,477210353838494,477210353721709,477210355126356,477210355200245
8,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 1u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,23,246845,246845,4194304,256,0,0,16,24,17792,0x7f9f7b44da80,0x7f9e7ad9b140,1497557,1497557,1017192,11980464,65536,173706597,3900068,0,696567904,477210355215555,477210355126356,477210356678364,477210356769881
9,"void benchmark_func<double, 256, 8u, 1u>(double, double*) [clone .kd]",0,0,26,246845,246845,4194304,256,0,0,16,24,18496,0x7f9f7b44d900,0x7f9e7ad9b180,1513435,1513435,1018904,12107488,65536,205271369,4059902,0,822828848,477210356786151,477210356678364,477210358240132,477210358330218
10,"void benchmark_func<__half2, 256, 8u, 1u>(__half2, __half2*) [clone .kd]",0,0,29,246845,246845,4194304,256,0,0,16,24,19200,0x7f9f7b44d780,0x7f9e7ad9b1c0,1250324,1250324,1013887,10002600,65536,130053058,1922520,0,521958420,477210358344808,477210358240132,477210359644139,477210359733958
11,"void benchmark_func<int, 256, 8u, 1u>(int, int*) [clone .kd]",0,0,32,246845,246845,4194304,256,0,0,16,24,19904,0x7f9f7b44d600,0x7f9e7ad9b200,1252318,1252318,1014474,10018552,65536,122477489,1923584,0,491653040,477210359748507,477210359644139,477210361048146,477210361116418
12,"void benchmark_func<float, 256, 8u, 2u>(float, float*) [clone .kd]",0,0,35,246845,246845,4194304,256,0,0,12,24,20608,0x7f9f7d6ea480,0x7f9e7ad9b240,1246800,1246800,1013868,9974408,65536,121015225,1893046,0,485803892,477210361143017,477210361048146,477210362449753,477210362517598
13,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 2u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,38,246845,246845,4194304,256,0,0,16,24,21312,0x7f9f7d6ea300,0x7f9e7ad9b280,1523219,1523219,1016839,12185760,65536,165436217,4117658,0,663490512,477210362533567,477210362449753,477210364017761,477210364087234
14,"void benchmark_func<double, 256, 8u, 2u>(double, double*) [clone .kd]",0,0,41,246845,246845,4194304,256,0,0,16,24,22016,0x7f9f7d6ea180,0x7f9e7ad9b2c0,1488390,1488390,1016797,11907128,65536,207130012,3864870,0,830259680,477210364103004,477210364017761,477210365565129,477210365631001
15,"void benchmark_func<__half2, 256, 8u, 2u>(__half2, __half2*) [clone .kd]",0,0,44,246845,246845,4194304,256,0,0,16,24,22720,0x7f9f7d6ea000,0x7f9e7ad9b300,1263066,1263066,1013609,10104536,65536,134676045,2021328,0,540448844,477210365647170,477210365565129,477210366979376,477210367023401
16,"void benchmark_func<int, 256, 8u, 2u>(int, int*) [clone .kd]",0,0,47,246845,246845,4194304,256,0,0,12,24,23424,0x7f9f7b44de80,0x7f9e7ad9b340,1293389,1293389,1013978,10347120,65536,134507965,2253534,0,539775288,477210367039761,477210366979376,477210368408984,477210368476350
17,"void benchmark_func<float, 256, 8u, 3u>(float, float*) [clone .kd]",0,0,50,246845,246845,4194304,256,0,0,12,24,24128,0x7f9f7b44dd00,0x7f9e7ad9b380,1243460,1243460,1013832,9947688,65536,122763179,1854927,0,492798008,477210368502499,477210368408984,477210369808191,477210369874960
18,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 3u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,53,246845,246845,4194304,256,0,0,16,24,24832,0x7f9f7b44db80,0x7f9e7ad9b3c0,1549223,1549223,1017879,12393792,65536,185186309,4344831,0,742495516,477210369890759,477210369808191,477210371391559,477210371456656
19,"void benchmark_func<double, 256, 8u, 3u>(double, double*) [clone .kd]",0,0,56,246845,246845,4194304,256,0,0,16,24,25536,0x7f9f7b44da00,0x7f9e7ad9b400,1466695,1466695,1020420,11733568,65536,211665297,3667117,0,848399864,477210371472145,477210371391559,477210372927406,477210372995593
20,"void benchmark_func<__half2, 256, 8u, 3u>(__half2, __half2*) [clone .kd]",0,0,59,246845,246845,4194304,256,0,0,12,24,26240,0x7f9f7b44d880,0x7f9e7ad9b440,1272714,1272714,1014312,10181720,65536,134246051,2082102,0,538729400,477210373013492,477210372927406,477210374345334,477210374410932
